Flag,O0,O1,O2,O3,Always on/off (1/0) in train18a,Description,XOR,Include,Reason,Reason code,Dependent on,In arm-none-eabi-gcc 4.9.3,why missing,,O0,O1,O2,O3,,Always On,Always Off
-fpredictive-commoning,0,0,0,1,,,,Y,,,,TRUE,,,,-fvar-tracking-assignments,-ftree-ccp,-ftoplevel-reorder,,,
-fprefetch-loop-arrays,1,1,1,1,,,,Y,may be better or worse – highly dependent on loop structure,,,TRUE,,,,-fweb,-ftree-ch,-ftrapping-math,,,
-freg-struct-return,1,1,1,1,,,,N,"compatibility, default on, and is probably more efficient with",B,,TRUE,,,,,-ftree-coalesce-vars,-ftree-bit-ccp,,,
-fregmove,0,0,1,1,1,,,Y,,,,FALSE,appears to have been removed in changelog-2013,,,,-ftree-copy-prop,-ftree-builtin-call-dce,,,
-frename-registers,1,1,1,1,,,,Y,I doubt this would ever be bad,,,TRUE,,,,,-ftree-copyrename,-ftree-ccp,,,
-freorder-blocks,0,0,1,1,,,,Y,,,,TRUE,,,,,-ftree-cselim,-ftree-ch,,,
-freorder-blocks-and-partition,0,0,0,0,,,,N,n/a on cm3,N/A,,TRUE,,,,,-ftree-dce,-ftree-coalesce-vars,,,
-freorder-functions,0,0,1,1,1,,,Y,,,,TRUE,,,,,-ftree-dominator-opts,-ftree-copy-prop,,,
-frerun-cse-after-loop,0,0,1,1,0,,,Y,,,,TRUE,,,,,-ftree-dse,-ftree-copyrename,,,
-freschedule-modulo-scheduled-loops,0,0,0,0,,,,Y,,,,TRUE,,,,,-ftree-forwprop,-ftree-cselim,,,
-frounding-math,0,0,0,0,,,,N,disables opts that assume default fp rounding,N,,TRUE,,,,,-ftree-fre,-ftree-dce,,,
-frtti,0,0,0,0,,,,N,C++,N/A,,TRUE,,,,,-ftree-loop-if-convert,-ftree-dominator-opts,,,
-fsched-critical-path-heuristic,1,1,1,1,,,,Y,,,,TRUE,,,,,-ftree-loop-im,-ftree-dse,,,
-fsched-dep-count-heuristic,1,1,1,1,,,,Y,,,,TRUE,,,,,-ftree-loop-ivcanon,-ftree-forwprop,,,
-fsched-group-heuristic,1,1,1,1,0,,,Y,,,,TRUE,,,,,-ftree-loop-optimize,-ftree-fre,,,
-fsched-interblock,1,1,1,1,0,,,Y,,,,TRUE,,,,,-ftree-phiprop,-ftree-loop-distribute-patterns,,,
-fsched-last-insn-heuristic,1,1,1,1,,,,Y,,,,TRUE,,,,,-ftree-pre,-ftree-loop-if-convert,,,
-fsched-pressure,0,1,1,1,,,,Y,,,,TRUE,,,,,-ftree-pta,-ftree-loop-im,,,
-fsched-rank-heuristic,1,1,1,1,0,,,Y,,,,TRUE,,,,,-ftree-reassoc,-ftree-loop-ivcanon,,,
-fsched-spec,1,1,1,1,0,,,Y,,,,TRUE,,,,,-ftree-scev-cprop,-ftree-loop-optimize,,,
-fsched-spec-insn-heuristic,1,1,1,1,,,,Y,,,,TRUE,,,,,-ftree-sink,-ftree-partial-pre,,,
-fsched-spec-load,0,0,0,0,,,,Y,,,only makes sense with -fschedule-insns,TRUE,,,,,-ftree-slp-vectorize,-ftree-phiprop,,,
-fsched-spec-load-dangerous,0,0,0,0,,,,N,incorrect code?,X,,TRUE,,,,,-ftree-slsr,-ftree-pre,,,
-fsched-stalled-insns,0,0,0,0,0,,,Y,,,,TRUE,,,,,-ftree-sra,-ftree-pta,,,
-fsched-stalled-insns-dep,1,1,1,1,1,,,Y,,,,TRUE,,,,,-ftree-switch-conversion,-ftree-reassoc,,,
-fsched2-use-superblocks,0,0,0,0,,,,N,Experimental – some CPUs unreliable results since they are not modelled well enough,X,,TRUE,,,,,-ftree-tail-merge,-ftree-scev-cprop,,,
-fschedule-insns,0,0,1,1,,,,Y,,,,TRUE,,,,,-ftree-ter,-ftree-sink,,,
-fschedule-insns2,0,0,1,1,,,,Y,,,,TRUE,,,,,-ftree-vect-loop-version,-ftree-slp-vectorize,,,
-fsection-anchors,0,0,0,0,,,,Y,,,must disable if toplevel-reorder disabled,TRUE,,,,,-ftree-vrp,-ftree-slsr,,,
-fsel-sched-pipelining,0,0,0,0,,,,Y,,,No effect without at least one of -fselective-scheduling or -fselective-scheduling2 is on,TRUE,,,,,-funit-at-a-time,-ftree-sra,,,
-fsel-sched-pipelining-outer-loops,0,0,0,0,0,,,Y,,,No effect without -fsel-sched-pipelining,TRUE,,,,,-fvar-tracking,-ftree-switch-conversion,,,
-fsel-sched-reschedule-pipelined,0,0,0,0,,,,Y,,,,TRUE,,,,,-fvar-tracking-assignments,-ftree-tail-merge,,,
-fselective-scheduling,0,0,0,0,,,,Y,,,,TRUE,,,,,-fweb,-ftree-ter,,,
-fselective-scheduling2,0,0,0,0,,,,Y,,,,TRUE,,,,,,-ftree-vect-loop-version,,,
-fshort-double,0,0,0,0,,,,N,precision,X,,TRUE,,,,,,-ftree-vectorize,,,
-fshort-enums,1,1,1,1,,,,N,C++,N/A,,TRUE,,,,,,-ftree-vrp,,,
-fshort-wchar,0,0,0,0,,,,N,precision,X,,TRUE,,,,,,-funit-at-a-time,,,
-fshrink-wrap,0,1,1,1,0,,,Y,,,,TRUE,,,,,,-funswitch-loops,,,
-fsignaling-nans,0,0,0,0,,,,N,standards/experimental,S,,TRUE,,,,,,-fvar-tracking,,,
-fsigned-zeros,1,1,1,1,,,,N,standards,S,,TRUE,,,,,,-fvar-tracking-assignments,,,
-fsingle-precision-constant,0,0,0,0,,,,N,precision,S,,TRUE,,,,,,-fvect-cost-model,,,
-fsplit-ivs-in-unroller,1,1,1,1,,,,Y,,,,TRUE,,,,,,-fweb,,,
-fsplit-wide-types,0,1,1,1,,,,Y,,,,TRUE,,,,,,,,,
-fstrict-aliasing,0,0,1,1,0,,,Y,,,,TRUE,,,,,,,,,
-fstrict-enums,0,0,0,0,,,,N,C++,N/A,,TRUE,,,,,,,,,
-fthread-jumps,0,0,1,1,1,,,Y,,,,TRUE,,,,,,,,,
